date;AAPL;GE;GME;PG;TSLA
2002-01-17;0.081809;0.027306;;0.002516;
2002-01-18;-0.01379;-0.001806;;0.001506;
2002-01-22;-0.015787;-0.009824;;-0.004887;
2002-01-23;0.054996;-0.016971;;-0.010325;
2002-01-24;0.008254;-0.002656;;-0.010433;
2002-01-25;0.001723;0.018908;;0.017485;
2002-01-28;0.00086;-0.002875;;0.000253;
2002-01-29;-0.008595;-0.044299;;-0.020718;
2002-01-30;0.044213;0.01152;;0.009933;
2002-01-31;0.026152;0.007321;;0.043301;
2002-02-01;-0.01254;-0.008075;;0.010896;
2002-02-04;0.038509;-0.050204;;0.001574;
2002-02-05;0.003945;0.034571;;-0.000967;
2002-02-06;-0.030648;0.020713;;-0.001452;
2002-02-07;-0.014998;0.006494;;-0.004485;
2002-02-08;-0.011111;0.001344;;-0.000487;
2002-02-11;0.039534;0.014765;;-0.004629;
2002-02-12;-0.010809;-0.007936;;0.022519;
2002-02-13;0.012141;0.016;;0.002154;
2002-02-14;-0.016393;-0.002625;-0.004975;0.003702;
2002-02-15;-0.028455;-0.023421;-0.005;0.011304;
2002-02-19;-0.053556;-0.019132;-0.040201;-0.011648;
2002-02-20;0.022546;0.032143;0.034031;0.011905;
2002-02-21;-0.070471;-0.001331;-0.002532;-0.022353;
2002-02-22;0.057674;0.015192;-0.017767;0.030084;
2002-02-25;0.047054;0.029142;0.007752;0.020678;
2002-02-26;-0.00588;-0.01148;0.0;-0.009958;
2002-02-27;-0.072243;0.004645;-0.017949;-0.011561;
2002-02-28;-0.01184;-0.006452;-0.002611;-0.008304;
2002-03-01;0.080645;0.024675;0.014136;0.032551;
2002-03-04;0.035821;0.019011;0.017037;-0.006511;
2002-03-05;-0.031289;0.007463;-0.022843;-0.022074;
